doc_id,model,language,resource_level,doc_category,source_words,stale_reference,labse_published,labse_pooled,labse_aligned,prof_labse_published,prof_labse_pooled
cancer/after-a-lung-cancer-diagnosis,gemini-3-pro,russian,high,cancer,1225,False,0.983653724193573,0.9882875680923462,0.9237279031011794,0.960161030292511,0.9825893044471741
cancer/after-a-lung-cancer-diagnosis,gemini-3-pro,korean,medium,cancer,1225,False,0.9418121576309204,0.9810958504676819,0.8729151288668314,0.9788380265235901,0.9860965013504028
cancer/after-a-lung-cancer-diagnosis,gemini-3-pro,haitian_creole,low,cancer,1225,False,0.9956415295600891,0.9917164444923401,0.9278373188442655,0.9841862320899963,0.9915555119514465
cancer/after-a-lung-cancer-diagnosis,kimi-k2,spanish,high,cancer,1225,False,0.9896268844604492,0.9919794797897339,0.9487653175989786,0.985214114189148,0.9915943145751953
cancer/after-a-lung-cancer-diagnosis,kimi-k2,chinese_simplified,high,cancer,1225,False,0.9852669835090637,0.9895249009132385,0.9161449273427328,0.9884709119796753,0.9806241989135742
cancer/after-a-lung-cancer-diagnosis,kimi-k2,vietnamese,high,cancer,1225,False,0.9820812940597534,0.9866530895233154,0.91259456343121,0.9766876697540283,0.991425633430481
cancer/after-a-lung-cancer-diagnosis,kimi-k2,tagalog,low,cancer,1225,False,0.9936433434486389,0.9971497654914856,0.9814678960376315,0.9798099398612976,0.9931807518005371
cancer/after-a-lung-cancer-diagnosis,kimi-k2,russian,high,cancer,1225,False,0.9913538098335266,0.9922029376029968,0.960353864563836,0.9420335292816162,0.9763713479042053
cancer/after-a-lung-cancer-diagnosis,kimi-k2,korean,medium,cancer,1225,False,0.9612635970115662,0.9836719036102295,0.8783259524239434,0.9816684722900391,0.9902043342590332
cancer/after-a-lung-cancer-diagnosis,kimi-k2,haitian_creole,low,cancer,1225,False,0.9906278252601624,0.9942234754562378,0.9570643769370185,0.9844179153442383,0.9913777112960815
cancer/after-a-prostate-cancer-diagnosis,gpt-5.1,spanish,high,cancer,1371,False,0.9922645092010498,0.9947613477706909,0.9409273982048034,0.9883884191513062,0.9939137697219849
cancer/after-a-prostate-cancer-diagnosis,gpt-5.1,chinese_simplified,high,cancer,1371,False,0.9953554272651672,0.9944213032722473,0.9334762454032898,0.9875305891036987,0.9919720888137817
cancer/after-a-prostate-cancer-diagnosis,gpt-5.1,vietnamese,high,cancer,1371,False,0.9963569641113281,0.9952375292778015,0.9600405037403107,0.9851470589637756,0.9928914308547974
cancer/after-a-prostate-cancer-diagnosis,gpt-5.1,tagalog,low,cancer,1371,False,0.9946731925010681,0.9923812747001648,0.9161062240600586,0.9858807325363159,0.9920551180839539
cancer/after-a-prostate-cancer-diagnosis,gpt-5.1,russian,high,cancer,1371,False,0.9860339164733887,0.9908863306045532,0.917638510465622,0.9789609909057617,0.9890123605728149
cancer/after-a-prostate-cancer-diagnosis,gpt-5.1,korean,medium,cancer,1371,False,0.9943398237228394,0.9896622896194458,0.8823001325130463,0.9863414168357849,0.9913918375968933
cancer/after-a-prostate-cancer-diagnosis,gpt-5.1,haitian_creole,low,cancer,1371,False,0.9951986074447632,0.9923221468925476,0.9169350743293763,0.9843876957893372,0.9933048486709595
cancer/after-a-prostate-cancer-diagnosis,claude-opus-4.5,spanish,high,cancer,1371,False,0.9975607991218567,0.9987388849258423,0.989138400554657,0.9936321973800659,0.9967731833457947
cancer/after-a-prostate-cancer-diagnosis,claude-opus-4.5,chinese_simplified,high,cancer,1371,False,0.9951745271682739,0.9925676584243774,0.9100757777690888,0.9940083622932434,0.9905092120170593
cancer/after-a-prostate-cancer-diagnosis,claude-opus-4.5,vietnamese,high,cancer,1371,False,0.9857145547866821,0.9837507605552673,0.8715537533164024,0.9818311929702759,0.99200838804245
cancer/after-a-prostate-cancer-diagnosis,claude-opus-4.5,tagalog,low,cancer,1371,False,0.9966334104537964,0.997922420501709,0.9826692640781403,0.9859586954116821,0.9927041530609131
cancer/after-a-prostate-cancer-diagnosis,claude-opus-4.5,russian,high,cancer,1371,False,0.9928634762763977,0.9928111433982849,0.9509436964988709,0.9836595058441162,0.990326464176178
cancer/after-a-prostate-cancer-diagnosis,claude-opus-4.5,korean,medium,cancer,1371,False,0.993782103061676,0.9912034273147583,0.896136462688446,0.9849360585212708,0.9914633631706238
cancer/after-a-prostate-cancer-diagnosis,claude-opus-4.5,haitian_creole,low,cancer,1371,False,0.9933966398239136,0.9946849346160889,0.9492884337902069,0.982842743396759,0.9915765523910522
cancer/after-a-prostate-cancer-diagnosis,gemini-3-pro,spanish,high,cancer,1371,False,0.9945371150970459,0.9959331750869751,0.967272961139679,0.9901296496391296,0.9954352974891663
cancer/after-a-prostate-cancer-diagnosis,gemini-3-pro,chinese_simplified,high,cancer,1371,False,0.9932014346122742,0.9952154159545898,0.9650553286075592,0.9941638708114624,0.9919239282608032
cancer/after-a-prostate-cancer-diagnosis,gemini-3-pro,vietnamese,high,cancer,1371,False,0.992790937423706,0.9908071756362915,0.9040144175291062,0.9875963926315308,0.9931542873382568
cancer/after-a-prostate-cancer-diagnosis,gemini-3-pro,tagalog,low,cancer,1371,False,0.9971872568130493,0.9976685643196106,0.9807897567749023,0.9839907884597778,0.9922336339950562
cancer/after-a-prostate-cancer-diagnosis,gemini-3-pro,russian,high,cancer,1371,False,0.9738420248031616,0.9897832870483398,0.9556096315383911,0.9670774340629578,0.9880115389823914
cancer/after-a-prostate-cancer-diagnosis,gemini-3-pro,korean,medium,cancer,1371,False,0.9878640174865723,0.9872589707374573,0.8943832159042359,0.9859113693237305,0.9922411441802979
cancer/after-a-prostate-cancer-diagnosis,gemini-3-pro,haitian_creole,low,cancer,1371,False,0.9841083288192749,0.9923850297927856,0.9123388588428497,0.981768786907196,0.9927358627319336
cancer/after-a-prostate-cancer-diagnosis,kimi-k2,spanish,high,cancer,1371,False,0.9855953454971313,0.9928342700004578,0.8744413197040558,0.9819434881210327,0.9906628727912903
cancer/after-a-prostate-cancer-diagnosis,kimi-k2,chinese_simplified,high,cancer,1371,False,0.991195559501648,0.9906525015830994,0.9149984538555145,0.9919238686561584,0.9904406070709229
cancer/after-a-prostate-cancer-diagnosis,kimi-k2,vietnamese,high,cancer,1371,False,0.9840785264968872,0.9907850623130798,0.9106150716543198,0.9835014939308167,0.9901722073554993
cancer/after-a-prostate-cancer-diagnosis,kimi-k2,tagalog,low,cancer,1371,False,0.9920005798339844,0.9963482618331909,0.9732617199420929,0.9879517555236816,0.9919657111167908
cancer/after-a-prostate-cancer-diagnosis,kimi-k2,russian,high,cancer,1371,False,0.9731239080429077,0.9864966869354248,0.8382347285747528,0.972498893737793,0.985512912273407
cancer/after-a-prostate-cancer-diagnosis,kimi-k2,korean,medium,cancer,1371,False,0.9823166131973267,0.9854167699813843,0.891926783323288,0.9854395985603333,0.9927830100059509
cancer/after-a-prostate-cancer-diagnosis,kimi-k2,haitian_creole,low,cancer,1371,False,0.98359614610672,0.9918106198310852,0.9156219661235809,0.9752417802810669,0.9911072850227356
cancer/checking-your-skin,gpt-5.1,spanish,high,cancer,632,False,0.9939408302307129,0.993708074092865,0.9720083832740783,0.968434751033783,0.9849535226821899
cancer/checking-your-skin,gpt-5.1,chinese_simplified,high,cancer,632,False,0.9816471338272095,0.9886442422866821,0.9507669448852539,0.9757629632949829,0.9891182780265808
cancer/checking-your-skin,gpt-5.1,vietnamese,high,cancer,632,False,0.9852573275566101,0.9920254349708557,0.9637176394462585,0.9694688320159912,0.9834096431732178
cancer/checking-your-skin,gpt-5.1,tagalog,low,cancer,632,False,0.9815984964370728,0.9956852197647095,0.9797192811965942,0.9716708660125732,0.9852266907691956
cancer/checking-your-skin,gpt-5.1,russian,high,cancer,632,False,0.9885528087615967,0.9884939789772034,0.9475955724716186,0.961692214012146,0.9778252840042114
cancer/checking-your-skin,gpt-5.1,korean,medium,cancer,632,False,0.9577106833457947,0.9724089503288269,0.862607204914093,0.965966522693634,0.9846068024635315
cancer/checking-your-skin,gpt-5.1,haitian_creole,low,cancer,632,False,0.9729093313217163,0.9737826585769653,0.8811482191085815,0.9566194415092468,0.9765976071357727
cancer/checking-your-skin,claude-opus-4.5,spanish,high,cancer,632,False,0.9987168908119202,0.9960405230522156,0.9807308316230774,0.9710243940353394,0.9858036041259766
cancer/checking-your-skin,claude-opus-4.5,chinese_simplified,high,cancer,632,False,0.9892564415931702,0.9524824023246765,0.8197245836257935,0.9730690717697144,0.9849559664726257
cancer/checking-your-skin,claude-opus-4.5,vietnamese,high,cancer,632,False,0.9940766096115112,0.9935081005096436,0.9735019207000732,0.9694876074790955,0.9846716523170471
cancer/checking-your-skin,claude-opus-4.5,tagalog,low,cancer,632,False,0.9940243363380432,0.9924306273460388,0.9635610938072204,0.9735466241836548,0.9857470989227295
cancer/checking-your-skin,claude-opus-4.5,russian,high,cancer,632,False,0.9808637499809265,0.9892748594284058,0.9577346205711365,0.9650758504867554,0.9794673323631287
cancer/checking-your-skin,claude-opus-4.5,korean,medium,cancer,632,False,0.9886984825134277,0.9831159114837646,0.9393173456192017,0.9721115231513977,0.9858015179634094
cancer/checking-your-skin,claude-opus-4.5,haitian_creole,low,cancer,632,False,0.9821119904518127,0.9841388463973999,0.9169777393341064,0.9588500261306763,0.9750561118125916
cancer/checking-your-skin,gemini-3-pro,spanish,high,cancer,632,False,0.9572815895080566,0.9727112054824829,0.9418484091758728,0.9700663089752197,0.9842120409011841
cancer/checking-your-skin,gemini-3-pro,chinese_simplified,high,cancer,632,False,0.9946948289871216,0.99067622423172,0.9621481895446777,0.9690389037132263,0.9855568408966064
